"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"298","Player4-Republican",1,"self",4,1,2,3,1,4,"Rep",5,3.33333333333333
"299","Player4-Republican",2,"other",6,NA,NA,3,1,1,"Rep",6,4
"300","Player4-Republican",3,"ingroup",3,NA,NA,3,2,2,"Rep",5,3
"301","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",6,4
"302","Player3-Democrat",3,"ingroup",3,NA,NA,3,1,1,"Dem",4,2
"303","Player1-Democrat",2,"other",3,NA,NA,3,2,2,"Dem",1,3
"304","Player4-Republican",3,"ingroup",7,NA,NA,3,1,1,"Rep",7,2
"305","Player4-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",6,4.33333333333333
"306","Player1-Democrat",1,"self",3,1,1,3,1,4,"Dem",1,0
"307","Player3-Democrat",1,"self",4,1,1,3,1,4,"Dem",1,3
"308","Player4-Republican",2,"other",4,NA,NA,3,2,2,"Rep",6,4
"309","Player1-Democrat",3,"ingroup",6,NA,NA,3,2,2,"Dem",2,3
"310","Player3-Democrat",2,"other",2,NA,NA,3,2,2,"Dem",2,5.66666666666667
"311","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",5,-0.333333333333333
"312","Player1-Democrat",4,"outgroup",6,NA,NA,3,1,1,"Dem",2,5.66666666666667
"313","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,2,"Dem",2,3
"314","Player2-Republican",4,"outgroup",2,NA,NA,3,2,2,"Rep",6,0
"315","Player2-Republican",3,"ingroup",5,NA,NA,3,2,2,"Rep",7,6
"316","Player2-Republican",2,"other",6,NA,NA,3,1,1,"Rep",6,0
"317","Player3-Democrat",3,"ingroup",3,NA,NA,3,1,1,"Dem",3,0.666666666666667
"318","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",5,1.33333333333333
"319","Player4-Republican",1,"self",6,1,2,1,1,4,"Rep",5,1.33333333333333
"320","Player2-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",5,3
"321","Player2-Republican",3,"ingroup",2,NA,NA,3,1,1,"Rep",6,5.33333333333333
"322","Player1-Democrat",1,"self",6,1,1,3,1,1,"Dem",5,3.66666666666667
"323","Player3-Democrat",1,"self",6,2,NA,3,2,2,"Dem",3,1.33333333333333
"324","Player3-Democrat",3,"ingroup",6,NA,NA,3,1,1,"Dem",1,4
"325","Player2-Republican",4,"outgroup",2,NA,NA,3,1,1,"Rep",5,4
"326","Player1-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",2,5
"327","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,4.33333333333333
"328","Player4-Republican",1,"self",4,1,1,3,1,4,"Rep",5,4
"329","Player1-Democrat",1,"self",6,2,NA,3,1,4,"Dem",3,1
"330","Player4-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",5,2.33333333333333
"331","Player2-Republican",1,"self",4,1,1,3,1,4,"Rep",6,2.33333333333333
"332","Player2-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",7,5
"333","Player4-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",7,6
"334","Player2-Republican",2,"other",6,NA,NA,3,1,1,"Rep",4,4.33333333333333
