"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"351","Player4-Underestimator",1,"self",7,1,1,3,1,1,7,0
"352","Player1-Overestimator",2,"other",4,NA,NA,3,1,2,4,-0.333333333333333
"353","Player2-Underestimator",1,"self",4,2,NA,3,1,1,1,4
"354","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,2,4.33333333333333
"355","Player4-Underestimator",2,"other",7,NA,NA,3,2,2,1,0
"356","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,2,4
"357","Player2-Underestimator",2,"other",3,NA,NA,3,2,1,3,1.33333333333333
"358","Player4-Underestimator",1,"self",4,1,1,3,1,1,1,5
"359","Player4-Underestimator",4,"outgroup",2,NA,NA,3,1,1,2,0
"360","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,3,0.666666666666667
"361","Player4-Underestimator",3,"ingroup",5,NA,NA,3,1,1,6,3
"362","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,6,2.66666666666667
"363","Player1-Overestimator",1,"self",3,1,1,3,2,1,6,-0.666666666666667
"364","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,3,3
"365","Player2-Underestimator",1,"self",3,1,1,3,1,1,6,2.66666666666667
"366","Player2-Underestimator",4,"outgroup",6,NA,NA,3,1,1,4,-1.66666666666667
"367","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,7,3.66666666666667
