"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"354","Player4-Underestimator",1,"self",2,1,1,3,1,2,4,-1.33333333333333
"355","Player2-Underestimator",2,"other",5,NA,NA,3,2,2,4,0
"356","Player4-Underestimator",1,"self",4,1,1,3,1,1,4,1.66666666666667
"357","Player2-Underestimator",2,"other",4,NA,NA,3,2,2,3,-1
"358","Player3-Overestimator",3,"ingroup",5,NA,NA,3,1,1,5,0.333333333333333
"359","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,7,0
"360","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,4,0
"361","Player1-Overestimator",2,"other",4,NA,NA,3,1,2,4,-0.333333333333333
"362","Player4-Underestimator",2,"other",7,NA,NA,3,2,2,1,0
"363","Player2-Underestimator",2,"other",3,NA,NA,3,2,1,3,1.33333333333333
"364","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,2,4
"365","Player4-Underestimator",1,"self",7,1,1,3,1,1,7,0
"366","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,2,2,0
"367","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,2,4.33333333333333
"368","Player2-Underestimator",1,"self",3,1,1,3,1,1,6,2.66666666666667
"369","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,6,2.66666666666667
"370","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,3,0.666666666666667
"371","Player4-Underestimator",4,"outgroup",2,NA,NA,3,1,1,2,0
"372","Player4-Underestimator",3,"ingroup",5,NA,NA,3,1,1,6,3
"373","Player2-Underestimator",4,"outgroup",6,NA,NA,3,1,1,4,-1.66666666666667
"374","Player1-Overestimator",1,"self",3,1,1,3,2,1,6,-0.666666666666667
"375","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,3,3
"376","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,2,0.666666666666667
"377","Player2-Underestimator",4,"outgroup",6,NA,NA,3,2,2,4,1
"378","Player4-Underestimator",3,"ingroup",2,NA,NA,3,1,2,1,-0.666666666666667
"379","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,2,1,0
"380","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,2,2
"381","Player2-Underestimator",1,"self",4,1,2,3,1,1,3,-0.333333333333333
"382","Player2-Underestimator",2,"other",2,NA,NA,3,1,2,3,0
"383","Player3-Overestimator",1,"self",6,1,1,3,1,1,5,-1
"384","Player4-Underestimator",2,"other",2,NA,NA,3,2,2,2,2
"385","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,4,1
"386","Player4-Underestimator",3,"ingroup",6,NA,NA,3,1,1,1,0
"387","Player3-Overestimator",1,"self",5,1,1,3,2,2,2,-2
"388","Player1-Overestimator",2,"other",5,NA,NA,3,1,2,1,1
"389","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,1,1,2
"390","Player4-Underestimator",1,"self",7,1,1,3,1,1,7,0
"391","Player3-Overestimator",1,"self",6,1,1,3,1,1,2,2
"392","Player4-Underestimator",3,"ingroup",6,NA,NA,3,2,2,1,0
"393","Player2-Underestimator",2,"other",5,NA,NA,3,2,2,1,0.666666666666667
"394","Player2-Underestimator",4,"outgroup",5,NA,NA,3,1,1,3,1.33333333333333
"395","Player1-Overestimator",4,"outgroup",3,NA,NA,3,2,2,4,-1.66666666666667
"396","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,2,2,0
"397","Player3-Overestimator",3,"ingroup",5,NA,NA,3,1,1,1,1.33333333333333
"398","Player1-Overestimator",1,"self",3,1,1,3,1,1,4,1.66666666666667
"399","Player1-Overestimator",2,"other",3,NA,NA,3,1,2,2,0
"400","Player4-Underestimator",4,"outgroup",4,NA,NA,3,1,1,4,1.33333333333333
"401","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,2,0
"402","Player4-Underestimator",1,"self",6,1,1,3,1,1,4,3.33333333333333
"403","Player1-Overestimator",1,"self",2,1,1,3,1,1,3,4
"404","Player1-Overestimator",4,"outgroup",3,NA,NA,3,2,2,3,0
"405","Player4-Underestimator",2,"other",6,NA,NA,3,2,2,4,0
"406","Player1-Overestimator",3,"ingroup",5,NA,NA,3,1,1,2,3.33333333333333
"407","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,3,4
"408","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,3,0
"409","Player4-Underestimator",2,"other",4,NA,NA,3,2,1,4,0
"410","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,1,5,0.666666666666667
"411","Player4-Underestimator",4,"outgroup",6,NA,NA,3,1,1,1,0
"412","Player1-Overestimator",3,"ingroup",7,NA,NA,3,2,2,4,0
"413","Player2-Underestimator",3,"ingroup",2,NA,NA,3,1,1,3,0
"414","Player1-Overestimator",4,"outgroup",4,NA,NA,3,2,1,2,0
"415","Player2-Underestimator",1,"self",7,2,NA,1,1,1,1,2
"416","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,2,3,0
"417","Player4-Underestimator",1,"self",7,1,1,3,1,1,1,3
"418","Player1-Overestimator",1,"self",2,1,1,3,1,1,7,1
"419","Player2-Underestimator",2,"other",3,NA,NA,3,1,1,4,2
"420","Player1-Overestimator",4,"outgroup",2,NA,NA,3,2,2,1,0
"421","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,2,2.66666666666667
"422","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"423","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"424","Player1-Overestimator",1,"self",6,2,NA,3,1,2,1,-1.33333333333333
"425","Player1-Overestimator",3,"ingroup",3,NA,NA,3,2,2,2,0.666666666666667
"426","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,1,4,0.666666666666667
"427","Player4-Underestimator",3,"ingroup",3,NA,NA,3,2,2,3,0
"428","Player4-Underestimator",1,"self",7,2,NA,3,2,2,1,-1
"429","Player2-Underestimator",1,"self",3,1,1,3,1,1,4,1
"430","Player2-Underestimator",4,"outgroup",3,NA,NA,3,1,2,5,0.666666666666667
"431","Player4-Underestimator",4,"outgroup",4,NA,NA,3,1,1,2,5.66666666666667
"432","Player3-Overestimator",1,"self",4,1,1,3,2,2,2,0
"433","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,4,2
"434","Player3-Overestimator",4,"outgroup",3,NA,NA,3,1,1,3,0.666666666666667
"435","Player3-Overestimator",1,"self",7,2,NA,3,1,1,7,4
"436","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,2,0
"437","Player2-Underestimator",3,"ingroup",6,NA,NA,3,1,1,5,1.33333333333333
"438","Player1-Overestimator",3,"ingroup",5,NA,NA,3,1,2,5,0.333333333333333
"439","Player4-Underestimator",2,"other",2,NA,NA,3,1,2,3,1.33333333333333
"440","Player3-Overestimator",1,"self",7,2,NA,3,1,1,2,0
"441","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,2,0.666666666666667
"442","Player2-Underestimator",1,"self",4,1,1,3,1,1,3,0
"443","Player2-Underestimator",1,"self",4,1,1,3,2,2,4,0
"444","Player2-Underestimator",2,"other",5,NA,NA,3,1,1,2,0
"445","Player4-Underestimator",2,"other",5,NA,NA,3,1,1,1,4.33333333333333
"446","Player4-Underestimator",1,"self",1,1,1,3,2,1,2,0
"447","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,1,4,0.666666666666667
"448","Player3-Overestimator",2,"other",7,NA,NA,3,2,2,4,0
"449","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,5,0
"450","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,2,1
"451","Player4-Underestimator",3,"ingroup",4,NA,NA,3,2,2,4,-0.666666666666667
"452","Player4-Underestimator",1,"self",4,1,1,3,2,2,1,2
"453","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,4,0.666666666666667
"454","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,4,0
"455","Player2-Underestimator",4,"outgroup",2,NA,NA,3,1,1,4,2
"456","Player1-Overestimator",2,"other",4,NA,NA,3,2,2,1,1.33333333333333
"457","Player2-Underestimator",1,"self",6,2,NA,3,1,1,4,0
"458","Player4-Underestimator",2,"other",3,NA,NA,3,1,2,1,0
"459","Player3-Overestimator",2,"other",7,NA,NA,3,1,1,3,3.33333333333333
"460","Player4-Underestimator",1,"self",7,2,NA,3,1,1,1,0
"461","Player3-Overestimator",4,"outgroup",5,NA,NA,3,1,1,2,3.66666666666667
"462","Player2-Underestimator",2,"other",3,NA,NA,3,2,2,1,0
"463","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,1,1
